Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/Primitives,0,26,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/Primitives,45,45,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/fastsdram/Primitives,194,98,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/fastsdram/openbank_0/Primitives,50,45,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/fastsdram/openbank_1/Primitives,50,45,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/fastsdram/openbank_2/Primitives,50,45,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/CoreSDR_0/fastinit/fastsdram/openbank_3/Primitives,50,45,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/Primitives,322,269,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rvalid_ahb/Primitives,2,0,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rvalid_ahb/genblk1.pulse_gen_i/Primitives,1,1,0,0,0,0,0,0,0,0,0
CORESDR_AHB_C1_0/CORESDR_AHB_C1_0/genblk1.CoreSDR_0/rvalid_ahb/genblk2.pulse_cdc_sync_i/Primitives,1,3,0,0,0,0,0,0,0,0,0
